num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
2306.0,Абсолют Банк,B1,B1,негативный,NP,NP,отозван,E+,26.04.2016,ruBBB,стабильный,28.04.2017,,,,,,
2879.0,Авангард,B2,B2,стабильный,NP,NP,отозван,E+,18.03.2016,,,,,,,,,
415.0,Аверс,,,,,,,,,ruA+,стабильный,28.04.2017,,,,,,
1455.0,Автоградбанк,,,,,,,,,ruBB-,стабильный,27.04.2017,,,,,,
2880.0,Агропромкредит,B2,B2,негативный,NP,NP,,E+,21.04.2017,,,,,,,,,
2860.0,Агророс,,,,,,,,,ruBB,негативный,14.08.2017,,,,,,
1459.0,Агросоюз,,,,,,,,,ruB,негативный,18.05.2017,,,,отозван,,19.08.2012
1810.0,Азиатско-Тихоокеанский Банк,отозван,отозван,отозван,отозван,отозван,отозван,отозван,11.05.2016,ruCC,негативный,19.04.2017,,,,,,
2590.0,Ак Барс,B2,B2,стабильный,NP,NP,отозван,E+,12.05.2017,,,,,,,,,
2587.0,Акибанк,B3,B3,стабильный,NP,NP,отозван,E+,18.03.2016,ruBB+,стабильный,26.06.2017,,,,,,
2529.0,Актив Банк,,,,,,,,,ruBBB-,стабильный,22.06.2017,,,,,,
3006.0,АктивКапитал Банк,,,,,,,,,отозван,,31.05.2017,,,,,,
567.0,Акцепт,,,,,,,,,ruA-,стабильный,19.05.2017,,,,,,
53.0,Александровский,,,,,,,,,отозван,,14.08.2017,,,,,,
2119.0,Алеф-Банк,,,,,,,,,,,,,,,A,стабильный,17.08.2016
2602.0,Алмазэргиэнбанк,,,,,,,,,ruBB,развивающийся,29.08.2017,,,,,,
2388.0,АлтайБизнес-Банк,,,,,,,,,отозван,,13.03.2017,,,,,,
2659.0,Алтайкапиталбанк,,,,,,,,,отозван,,18.07.2017,,,,B++,стабильный,06.07.2015
1326.0,Альфа-Банк,Ba2,Ba2,стабильный,NP,NP,,D-,24.05.2017,ruAA,стабильный,29.08.2017,AAA,,19.05.2015,,,
608.0,Аспект,,,,,,,,,ruB+,негативный,10.05.2017,,,,,,
732.0,Ассоциация,,,,,,,,,ruBBB+,стабильный,25.05.2017,,,,,,
2929.0,ББР Банк,,,,,,,,,отозван,,09.02.2016,,,,,,
101.0,БКС — Инвестиционный Банк,,,,,,,,,ruBBB+,стабильный,26.04.2017,A+,стабильный,02.08.2016,,,
2748.0,БМ-Банк (бывш. Банк Москвы),отозван,отозван,отозван,отозван,отозван,,отозван,21.07.2017,,,,,,,,,
1067.0,БайкалИнвестБанк,,,,,,,,,отозван,,17.07.2017,,,,,,
128.0,Балтийский Банк,,,,,,,,,отозван,,16.06.2014,,,,,,
3176.0,Балтинвестбанк,Caa1,Caa1,стабильный,NP,NP,,E+,20.12.2016,отозван,-,12.03.2010,,,,B+,стабильный,15.12.2016
436.0,Банк «Санкт-Петербург»,B1,стабильный,B1,NP,NP,,E+,26.04.2016,отозван,,09.06.2017,,,,,,
558.0,Банк «Советский»,,,,,,,,,B,негативный,21.08.2015,,,,отозван,,10.02.2012
2209.0,Банк «ФК Открытие»,B2,B2,развивающийся,NP,NP,,E+,05.09.2017,,,,AAA,стабильный,31.05.2016,,,
23.0,Банк АВБ,,,,,,,,,отозван,,02.11.2015,,,,,,
2684.0,Банк БКФ,,,,,,,,,ruCCC,негативный,11.07.2017,,,,,,
3480.0,Банк БЦК-Москва,,,,,,,,,B++,стабильный,25.02.2016,,,,,,
3138.0,Банк Жилищного Финансирования,,,,,,,,,ruB+,стабильный,18.05.2017,A,негативный,02.12.2016,,,
2216.0,Банк Интеза,отозван,отозван,отозван,отозван,отозван,отозван,отозван,27.01.2016,,,,,,,,,
708.0,Банк Казани,,,,,,,,,отозван,,15.05.2017,,,,,,
1659.0,Банк Оранжевый,,,,,,,,,,,,отозван,,13.05.2016,,,
2275.0,Банк Уралсиб,B3,B3,позитивный,NP,NP,,E+,05.06.2017,,,,,,,,,
3388.0,Банк Финсервис,,,,,,,,,ruBBB+,позитивный,17.04.2017,,,,,,
1398.0,Башкомснаббанк,,,,,,,,,,,,отозван,,31.08.2016,отозван,,11.06.2015
323.0,Бинбанк,отозван,отозван,отозван,отозван,отозван,,отозван,31.07.2013,отозван,,07.06.2016,AA,стабильный,01.12.2016,,,
1144.0,Братский АНКБ,,,,,,,,,ruBBB-,стабильный,12.05.2017,,,,,,
1137.0,Бум-Банк,,,,,,,,,отозван,,04.07.2013,,,,,,
1745.0,БыстроБанк,B2,B2,стабильный,NP,NP,,E+,29.11.2016,отозван,-,25.02.2010,отозван,-,13.03.2012,,,
2309.0,Бэнк оф Чайна,,,,,,,,,ruAA,стабильный,22.08.2017,,,,,,
1623.0,ВТБ 24,Ba2,Ba1,стабильный,NP,NP,,,20.10.2016,ruAA,стабильный,13.07.2017,,,,,,
1000.0,ВТБ Банк Москвы,Ba2,Ba1,стабильный,NP,NP,,E+,21.02.2017,ruAAA,стабильный,12.07.2017,,,,,,
1557.0,ВУЗ-Банк,,,,,,,,,,,,,,,,,
524.0,Венец,,,,,,,,,,,,,,,B++,стабильный,10.10.2016
2368.0,Веста,,,,,,,,,отозван,,20.02.2017,BBB+,стабильный,02.08.2016,,,
903.0,Владбизнесбанк,,,,,,,,,ruBBB-,стабильный,27.04.2017,,,,,,
3173.0,Внешфинбанк,,,,,,,,,отозван,,04.08.2017,,,,,,
1439.0,Возрождение,B1,B1,стабильный,NP,NP,,E+,20.12.2016,ruA-,стабильный,03.07.2017,,,,,,
312.0,Вокбанк,,,,,,,,,отозван,,03.02.2016,,,,,,
1896.0,Вологжанин,,,,,,,,,ruBB-,стабильный,19.04.2017,,,,,,
654.0,Воронеж,,,,,,,,,,,,,,,,,
2731.0,ВостСибтранскомбанк,,,,,,,,,отозван,,13.10.2014,,,,,,
1460.0,Восточный Банк,Caa1,Caa1,стабильный,NP,NP,,E+,15.03.2017,отозван,,14.12.2016,,,,,,
3287.0,Всероссийский Банк Развития Регионов,Ba2,Ba2,стабильный,NP,NP,,E+,01.03.2017,,,,,,,,,
2796.0,Вятич,,,,,,,,,,,,,,,,,
2316.0,Газбанк,B3,B3,стабильный,NP,NP,отозван,E+,18.03.2016,,,,A+,стабильный,15.11.2016,,,
3223.0,Газнефтьбанк,,,,,,,,,,,,,,,,,
354.0,Газпромбанк,Ba2,Ba2,стабильный,NP,NP,,E+,21.02.2017,ruAA+,стабильный,10.07.2017,,,,,,
665.0,Газтрансбанк,,,,,,,,,отозван,,23.03.2017,,,,,,
3252.0,Газэнергобанк,,,,,,,,,,,,,,,,,
2490.0,Генбанк,,,,,,,,,отозван,,19.02.2016,BBB+,стабильный,07.11.2016,,,
1046.0,Гефест,,,,,,,,,,,,,,,,,
1942.0,Глобэкс,,,,,,,,,,,,,,,отозван,,18.11.2011
2982.0,Горбанк,,,,,,,,,,,,,,,A,стабильный,31.10.2016
