num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
2306,Абсолют Банк,7.0,7.0,0.0,0.0,0.0,,2.0,26.04.2016,12.0,1.0,28.04.2017,,,,,,
2879,Авангард,6.0,6.0,1.0,0.0,0.0,,2.0,18.03.2016,,,,,,,,,
415,Аверс,,,,,,,,,16.0,1.0,28.04.2017,,,,,,
1455,Автоградбанк,,,,,,,,,8.0,1.0,27.04.2017,,,,,,
2880,Агропромкредит,6.0,6.0,0.0,0.0,0.0,,2.0,21.04.2017,,,,,,,,,
2860,Агророс,,,,,,,,,9.0,0.0,14.08.2017,,,,,,
1459,Агросоюз,,,,,,,,,6.0,0.0,18.05.2017,,,,,,19.08.2012
1810,Азиатско-Тихоокеанский Банк,,,,-1.0,-1.0,,,11.05.2016,3.0,0.0,19.04.2017,,,,,,
2590,Ак Барс,6.0,6.0,1.0,0.0,0.0,,2.0,12.05.2017,,,,,,,,,
2587,Акибанк,5.0,5.0,1.0,0.0,0.0,,2.0,18.03.2016,10.0,1.0,26.06.2017,,,,,,
2529,Актив Банк,,,,,,,,,11.0,1.0,22.06.2017,,,,,,
3006,АктивКапитал Банк,,,,,,,,,,,31.05.2017,,,,,,
567,Акцепт,,,,,,,,,14.0,1.0,19.05.2017,,,,,,
53,Александровский,,,,,,,,,,,14.08.2017,,,,,,
2119,Алеф-Банк,,,,,,,,,,,,,,,7.0,1.0,17.08.2016
2602,Алмазэргиэнбанк,,,,,,,,,9.0,,29.08.2017,,,,,,
2388,АлтайБизнес-Банк,,,,,,,,,,,13.03.2017,,,,,,
2659,Алтайкапиталбанк,,,,,,,,,,,18.07.2017,,,,6.0,1.0,06.07.2015
1326,Альфа-Банк,9.0,9.0,1.0,0.0,0.0,,3.0,24.05.2017,18.0,1.0,29.08.2017,22.0,,19.05.2015,,,
608,Аспект,,,,,,,,,7.0,0.0,10.05.2017,,,,,,
732,Ассоциация,,,,,,,,,13.0,1.0,25.05.2017,,,,,,
